Variable_Level Variable_Size Variable_Capacity Contribution_0 Contribution_1 Mutability_0 Mutability_1 Mutability_2 Capacity_1 Capacity_2
1 100 2 0.634 0.352 93.940 0.000 0.000 2.000 50.000
1 100 2 0.641 0.348 92.240 0.000 0.000 2.000 50.000
1 100 2 0.641 0.344 95.040 0.000 0.000 2.000 50.000
1 100 2 0.627 0.362 88.450 0.000 0.000 2.000 50.000
1 100 2 0.598 0.384 94.000 0.000 0.000 2.000 50.000
1 100 2 0.609 0.372 93.070 0.000 0.000 2.000 50.000
1 100 2 0.582 0.405 92.950 0.000 0.000 2.000 50.000
1 100 2 0.626 0.359 95.090 0.000 0.000 2.000 50.000
1 100 4 0.650 0.329 84.700 0.000 0.000 4.000 50.000
1 100 4 0.646 0.332 85.970 0.000 0.000 4.000 50.000
1 100 4 0.643 0.326 80.180 0.000 0.000 4.000 50.000
1 100 4 0.666 0.313 83.470 0.000 0.000 4.000 50.000
1 100 4 0.633 0.343 82.060 0.000 0.000 4.000 50.000
1 100 4 0.634 0.346 91.110 0.000 0.000 4.000 50.000
1 100 4 0.658 0.322 84.550 0.000 0.000 4.000 50.000
1 100 4 0.650 0.329 85.330 0.000 0.000 4.000 50.000
1 100 4 0.643 0.340 87.980 0.000 0.000 4.000 50.000
1 100 4 0.619 0.355 83.190 0.000 0.000 4.000 50.000
1 100 4 0.655 0.326 86.210 0.000 0.000 4.000 50.000
1 100 4 0.663 0.311 82.010 0.000 0.000 4.000 50.000
1 100 4 0.635 0.341 83.560 0.000 0.000 4.000 50.000
1 100 4 0.636 0.337 81.800 0.000 0.000 4.000 50.000
1 100 4 0.653 0.323 82.130 0.000 0.000 4.000 50.000
1 100 4 0.659 0.318 83.400 0.000 0.000 4.000 50.000
1 100 4 0.655 0.329 84.870 0.000 0.000 4.000 50.000
1 100 4 0.652 0.324 80.280 0.000 0.000 4.000 50.000
1 100 4 0.679 0.307 85.940 0.000 0.000 4.000 50.000
1 100 4 0.659 0.327 83.020 0.000 0.000 4.000 50.000
1 100 4 0.654 0.322 80.800 0.000 0.000 4.000 50.000
1 100 4 0.666 0.317 84.120 0.000 0.000 4.000 50.000
1 100 4 0.668 0.311 81.750 0.000 0.000 4.000 50.000
1 100 4 0.661 0.315 77.480 0.000 0.000 4.000 50.000
1 100 4 0.656 0.324 83.180 0.000 0.000 4.000 50.000
1 100 4 0.665 0.310 74.200 0.000 0.000 4.000 50.000
1 100 4 0.654 0.318 79.360 0.000 0.000 4.000 50.000
1 100 4 0.635 0.341 80.840 0.000 0.000 4.000 50.000
1 100 4 0.674 0.302 76.550 0.000 0.000 4.000 50.000
1 100 4 0.655 0.321 80.070 0.000 0.000 4.000 50.000
1 100 4 0.666 0.316 81.750 0.000 0.000 4.000 50.000
1 100 4 0.682 0.300 81.520 0.000 0.000 4.000 50.000
1 100 4 0.656 0.313 78.290 0.000 0.000 4.000 50.000
1 100 4 0.676 0.307 85.350 0.000 0.000 4.000 50.000
1 100 4 0.644 0.339 87.040 0.000 0.000 4.000 50.000
1 100 4 0.649 0.317 75.510 0.000 0.000 4.000 50.000
1 100 4 0.648 0.331 75.780 0.000 0.000 4.000 50.000
1 100 4 0.685 0.289 75.750 0.000 0.000 4.000 50.000
1 100 4 0.661 0.315 86.930 0.000 0.000 4.000 50.000
1 100 4 0.645 0.333 83.500 0.000 0.000 4.000 50.000
1 100 4 0.653 0.327 83.960 0.000 0.000 4.000 50.000
1 100 4 0.660 0.321 88.230 0.000 0.000 4.000 50.000
1 100 4 0.644 0.336 85.710 0.000 0.000 4.000 50.000
1 100 4 0.676 0.307 85.420 0.000 0.000 4.000 50.000
1 100 4 0.653 0.326 83.480 0.000 0.000 4.000 50.000
1 100 4 0.668 0.310 78.140 0.000 0.000 4.000 50.000
1 100 4 0.670 0.313 82.750 0.000 0.000 4.000 50.000
1 100 4 0.697 0.293 86.680 0.000 0.000 4.000 50.000
1 100 4 0.672 0.310 82.260 0.000 0.000 4.000 50.000
1 100 4 0.659 0.313 84.520 0.000 0.000 4.000 50.000
1 100 4 0.653 0.328 79.840 0.000 0.000 4.000 50.000
1 100 4 0.643 0.335 79.450 0.000 0.000 4.000 50.000
1 100 4 0.664 0.318 85.010 0.000 0.000 4.000 50.000
1 100 4 0.661 0.318 86.970 0.000 0.000 4.000 50.000
1 100 4 0.650 0.330 84.170 0.000 0.000 4.000 50.000
1 100 4 0.635 0.345 84.010 0.000 0.000 4.000 50.000
1 100 4 0.651 0.331 84.700 0.000 0.000 4.000 50.000
1 100 4 0.678 0.306 85.300 0.000 0.000 4.000 50.000
1 100 4 0.649 0.331 84.190 0.000 0.000 4.000 50.000
1 100 4 0.654 0.323 80.760 0.000 0.000 4.000 50.000
1 100 4 0.675 0.309 82.260 0.000 0.000 4.000 50.000
1 100 4 0.655 0.326 82.990 0.000 0.000 4.000 50.000
1 100 4 0.666 0.314 82.290 0.000 0.000 4.000 50.000
1 100 4 0.632 0.341 79.860 0.000 0.000 4.000 50.000
1 100 4 0.653 0.325 78.210 0.000 0.000 4.000 50.000
1 100 4 0.672 0.305 84.550 0.000 0.000 4.000 50.000
1 100 4 0.666 0.311 79.770 0.000 0.000 4.000 50.000
