Variable_Level Variable_Size Variable_Capacity Contribution_0 Contribution_1 Mutability_0 Mutability_1 Mutability_2 Capacity_1 Capacity_2
2 10 5 1.000 0.000 0.060 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.020 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.080 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 1.470 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.860 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.170 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.360 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.240 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.620 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 0.999 0.001 4.670 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.300 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.290 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.080 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.630 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.120 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.240 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.040 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.260 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.020 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.110 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.360 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 1.540 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.500 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.020 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.040 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 1.650 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 1.900 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 1.140 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.020 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.360 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.020 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 3.250 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.920 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.730 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.360 0.000 0.000 50.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 50.000 5.000
