Variable_Level Variable_Size Variable_Capacity Contribution_0 Contribution_1 Mutability_0 Mutability_1 Mutability_2 Capacity_1 Capacity_2
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 3.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 1.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 3.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.001 0.999 11.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.001 0.999 6.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.002 0.998 17.000 0.000 0.000 1.000 50.000
1 2 1 0.001 0.999 7.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.002 0.998 19.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.001 0.999 7.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 4.000 0.000 0.000 1.000 50.000
1 2 1 0.001 0.999 3.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 4.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 2.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 7.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 2.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 1.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 1.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 1.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 2.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 2.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.500 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.002 0.998 19.500 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 2.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.001 0.999 2.500 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 1.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 3.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.002 0.998 12.500 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.011 0.989 50.000 0.000 0.000 1.000 50.000
1 2 1 0.001 0.999 4.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 5.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 2.000 0.000 0.000 1.000 50.000
1 2 1 0.000 1.000 0.000 0.000 0.000 1.000 50.000
1 4 2 0.570 0.430 5.000 0.000 0.000 2.000 50.000
1 4 2 0.721 0.279 8.750 0.000 0.000 2.000 50.000
1 4 2 0.620 0.380 2.000 0.000 0.000 2.000 50.000
1 4 2 0.767 0.233 7.000 0.000 0.000 2.000 50.000
1 4 2 0.797 0.203 6.250 0.000 0.000 2.000 50.000
1 4 2 0.786 0.214 28.000 0.000 0.000 2.000 50.000
1 4 2 0.579 0.421 2.500 0.000 0.000 2.000 50.000
1 4 2 0.577 0.423 4.250 0.000 0.000 2.000 50.000
1 4 2 0.607 0.393 4.500 0.000 0.000 2.000 50.000
1 4 2 0.608 0.392 3.000 0.000 0.000 2.000 50.000
1 4 2 0.605 0.395 2.500 0.000 0.000 2.000 50.000
1 4 2 0.485 0.515 9.000 0.000 0.000 2.000 50.000
1 4 2 0.678 0.322 4.000 0.000 0.000 2.000 50.000
1 4 2 0.985 0.015 91.500 0.000 0.000 2.000 50.000
1 4 2 0.649 0.351 9.750 0.000 0.000 2.000 50.000
1 4 2 0.824 0.176 8.000 0.000 0.000 2.000 50.000
1 4 2 0.806 0.194 6.000 0.000 0.000 2.000 50.000
1 4 2 0.703 0.297 4.000 0.000 0.000 2.000 50.000
1 4 2 0.693 0.307 7.500 0.000 0.000 2.000 50.000
1 4 2 0.570 0.430 4.000 0.000 0.000 2.000 50.000
1 4 2 0.677 0.323 5.000 0.000 0.000 2.000 50.000
1 4 2 0.678 0.322 6.500 0.000 0.000 2.000 50.000
1 4 2 0.625 0.375 5.500 0.000 0.000 2.000 50.000
1 4 2 0.831 0.169 11.750 0.000 0.000 2.000 50.000
1 4 2 0.742 0.258 3.000 0.000 0.000 2.000 50.000
1 4 2 0.722 0.278 3.000 0.000 0.000 2.000 50.000
1 4 2 0.565 0.435 0.000 0.000 0.000 2.000 50.000
1 4 2 0.667 0.333 4.750 0.000 0.000 2.000 50.000
