Variable_Level Variable_Size Variable_Capacity Contribution_0 Contribution_1 Mutability_0 Mutability_1 Mutability_2 Capacity_1 Capacity_2
1 10 5 0.989 0.011 98.400 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 89.400 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 95.400 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 97.600 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 94.200 0.000 0.000 5.000 50.000
1 10 5 0.935 0.065 9.300 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 95.200 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 95.600 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 92.800 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 93.600 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 92.400 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 96.600 0.000 0.000 5.000 50.000
1 10 5 0.901 0.099 5.000 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 97.900 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 95.100 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 89.300 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 95.400 0.000 0.000 5.000 50.000
1 10 5 0.988 0.012 98.200 0.000 0.000 5.000 50.000
1 10 5 0.918 0.082 8.200 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 97.600 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 93.100 0.000 0.000 5.000 50.000
1 10 5 0.901 0.099 8.000 0.000 0.000 5.000 50.000
1 10 5 0.926 0.074 4.300 0.000 0.000 5.000 50.000
1 10 5 0.988 0.012 97.500 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 97.300 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 91.700 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 98.200 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 96.300 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 98.600 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 98.000 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 96.100 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 98.200 0.000 0.000 5.000 50.000
1 10 5 0.991 0.009 95.700 0.000 0.000 5.000 50.000
1 10 5 0.980 0.020 7.700 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 98.800 0.000 0.000 5.000 50.000
1 10 5 0.909 0.091 6.500 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 95.400 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 95.300 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 96.600 0.000 0.000 5.000 50.000
1 10 5 0.862 0.138 7.200 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 97.600 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 92.200 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 97.200 0.000 0.000 5.000 50.000
1 10 5 0.952 0.048 5.800 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 93.200 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 95.600 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 6.000 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 97.500 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 94.200 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 96.800 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 91.400 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 98.600 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 93.900 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 93.200 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 96.000 0.000 0.000 5.000 50.000
1 10 5 0.971 0.029 9.400 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 89.200 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 95.900 0.000 0.000 5.000 50.000
1 10 5 0.971 0.029 6.200 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 92.700 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 95.400 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 97.200 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 97.400 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 96.200 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 98.000 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 97.600 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 97.100 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 92.900 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 95.800 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 96.800 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 94.600 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 94.200 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 97.300 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 98.000 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 97.400 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 9.000 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 96.800 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 95.600 0.000 0.000 5.000 50.000
1 10 5 0.981 0.019 6.000 0.000 0.000 5.000 50.000
1 10 5 0.893 0.107 7.100 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 95.600 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 95.600 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 98.400 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 98.400 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 96.100 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 95.000 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 95.600 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 93.800 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 98.600 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 97.200 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 97.800 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 92.100 0.000 0.000 5.000 50.000
1 10 5 0.981 0.019 9.000 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 98.400 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 89.200 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 94.400 0.000 0.000 5.000 50.000
1 10 5 0.990 0.010 97.600 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 97.400 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 96.000 0.000 0.000 5.000 50.000
1 10 5 0.989 0.011 96.600 0.000 0.000 5.000 50.000
1 12 5 0.990 0.010 96.500 0.000 0.000 5.000 50.000
1 12 5 0.990 0.010 98.250 0.000 0.000 5.000 50.000
