Variable_Level Variable_Size Variable_Capacity Contribution_0 Contribution_1 Mutability_0 Mutability_1 Mutability_2 Capacity_1 Capacity_2
2 24 1 0.997 0.003 29.091 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 47.909 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 43.364 0.000 0.000 1.000 1.000
2 24 1 0.989 0.011 53.000 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 39.182 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 26.091 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 58.273 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 32.091 0.000 0.000 1.000 1.000
2 24 1 0.993 0.007 67.182 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 53.727 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 46.182 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 43.636 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 36.182 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 19.909 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 40.182 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 29.091 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 51.091 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 26.091 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 60.091 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 25.364 0.000 0.000 1.000 1.000
2 24 1 0.999 0.001 13.000 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 60.727 0.000 0.000 1.000 1.000
2 24 1 0.985 0.015 50.091 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 43.727 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 35.182 0.000 0.000 1.000 1.000
2 24 1 0.999 0.001 8.091 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 51.000 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 46.273 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 25.818 0.000 0.000 1.000 1.000
2 24 1 0.990 0.010 79.818 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 25.091 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 20.091 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 50.909 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 36.545 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 34.182 0.000 0.000 1.000 1.000
2 24 1 0.991 0.009 95.091 0.000 0.000 1.000 1.000
2 24 1 0.990 0.010 94.818 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 20.818 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 18.818 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 34.909 0.000 0.000 1.000 1.000
2 24 1 0.992 0.008 92.909 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 21.909 0.000 0.000 1.000 1.000
2 24 1 0.992 0.008 64.818 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 47.000 0.000 0.000 1.000 1.000
2 24 1 0.993 0.007 34.909 0.000 0.000 1.000 1.000
2 24 1 0.990 0.010 52.818 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 40.000 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 62.273 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 57.909 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 61.545 0.000 0.000 1.000 1.000
2 24 1 0.992 0.008 81.273 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 36.909 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 34.818 0.000 0.000 1.000 1.000
2 24 1 0.990 0.010 45.909 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 30.455 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 27.909 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 37.909 0.000 0.000 1.000 1.000
2 24 1 0.991 0.009 85.273 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 35.000 0.000 0.000 1.000 1.000
2 24 1 0.993 0.007 41.000 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 67.909 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 44.091 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 67.909 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 58.818 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 50.000 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 25.909 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 33.000 0.000 0.000 1.000 1.000
2 24 1 0.989 0.011 76.364 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 36.727 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 51.636 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 27.636 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 19.091 0.000 0.000 1.000 1.000
2 24 1 0.993 0.007 69.182 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 19.000 0.000 0.000 1.000 1.000
2 24 1 0.990 0.010 73.636 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 34.818 0.000 0.000 1.000 1.000
2 24 1 0.999 0.001 9.000 0.000 0.000 1.000 1.000
2 24 1 0.993 0.007 47.091 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 12.818 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 38.909 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 30.182 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 35.273 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 18.000 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 54.636 0.000 0.000 1.000 1.000
2 24 1 0.993 0.007 68.000 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 20.091 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 11.091 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 34.091 0.000 0.000 1.000 1.000
2 24 1 0.993 0.007 58.000 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 25.091 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 36.909 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 25.909 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 62.182 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 50.727 0.000 0.000 1.000 1.000
2 24 1 0.991 0.009 86.182 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 28.909 0.000 0.000 1.000 1.000
2 24 1 0.993 0.007 67.818 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 12.182 0.000 0.000 1.000 1.000
2 24 1 0.990 0.010 52.182 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 33.273 0.000 0.000 1.000 1.000
2 24 2 0.747 0.196 46.000 0.000 0.000 1.000 2.000
2 24 2 0.970 0.030 90.273 0.000 0.000 1.000 2.000
2 24 2 0.991 0.009 99.273 0.000 0.000 1.000 2.000
2 24 2 0.990 0.010 95.545 0.000 0.000 1.000 2.000
2 24 2 0.751 0.116 31.000 0.000 0.000 1.000 2.000
2 24 2 0.990 0.010 99.000 0.000 0.000 1.000 2.000
2 24 2 0.690 0.174 33.636 0.000 0.000 1.000 2.000
2 24 2 0.993 0.007 62.182 0.000 0.000 1.000 2.000
2 24 2 0.990 0.010 95.091 0.000 0.000 1.000 2.000
2 24 2 0.704 0.243 47.000 0.000 0.000 1.000 2.000
2 24 2 0.562 0.366 67.273 0.000 0.000 1.000 2.000
2 24 2 0.992 0.008 84.182 0.000 0.000 1.000 2.000
2 24 2 0.991 0.009 92.182 0.000 0.000 1.000 2.000
2 24 2 0.990 0.010 96.273 0.000 0.000 1.000 2.000
2 24 2 0.989 0.011 93.091 0.000 0.000 1.000 2.000
2 24 2 0.706 0.211 49.000 0.000 0.000 1.000 2.000
2 24 2 0.664 0.271 56.182 0.000 0.000 1.000 2.000
2 24 2 0.991 0.009 93.364 0.000 0.000 1.000 2.000
2 24 2 0.771 0.229 61.818 0.000 0.000 1.000 2.000
2 24 2 0.990 0.010 94.636 0.000 0.000 1.000 2.000
2 24 2 0.991 0.009 95.091 0.000 0.000 1.000 2.000
2 24 2 0.991 0.009 96.909 0.000 0.000 1.000 2.000
2 24 2 0.990 0.010 85.818 0.000 0.000 1.000 2.000
2 24 2 0.991 0.009 92.000 0.000 0.000 1.000 2.000
2 24 2 0.891 0.109 33.000 0.000 0.000 1.000 2.000
2 24 2 0.990 0.010 98.455 0.000 0.000 1.000 2.000
2 24 2 0.791 0.209 56.273 0.000 0.000 1.000 2.000
2 24 2 0.772 0.193 40.000 0.000 0.000 1.000 2.000
2 24 2 0.983 0.017 55.909 0.000 0.000 1.000 2.000
2 24 2 0.992 0.008 70.818 0.000 0.000 1.000 2.000
2 24 2 0.992 0.008 83.000 0.000 0.000 1.000 2.000
2 24 2 0.991 0.009 90.909 0.000 0.000 1.000 2.000
2 24 2 0.989 0.011 82.727 0.000 0.000 1.000 2.000
2 24 2 0.990 0.010 76.818 0.000 0.000 1.000 2.000
2 24 2 0.783 0.168 38.000 0.000 0.000 1.000 2.000
2 24 2 0.992 0.008 66.636 0.000 0.000 1.000 2.000
2 24 2 0.991 0.009 86.909 0.000 0.000 1.000 2.000
2 24 2 0.990 0.010 98.273 0.000 0.000 1.000 2.000
2 24 2 0.990 0.010 96.182 0.000 0.000 1.000 2.000
2 24 2 0.989 0.011 89.182 0.000 0.000 1.000 2.000
2 24 2 0.597 0.297 50.545 0.000 0.000 1.000 2.000
2 24 2 0.988 0.012 90.091 0.000 0.000 1.000 2.000
2 24 2 0.987 0.013 90.091 0.000 0.000 1.000 2.000
2 24 2 0.805 0.146 34.182 0.000 0.000 1.000 2.000
2 24 2 0.581 0.286 46.909 0.000 0.000 1.000 2.000
2 24 2 0.991 0.009 86.364 0.000 0.000 1.000 2.000
2 24 2 0.668 0.264 57.727 0.000 0.000 1.000 2.000
2 24 2 0.994 0.006 48.091 0.000 0.000 1.000 2.000
2 24 2 0.990 0.010 99.000 0.000 0.000 1.000 2.000
2 24 2 0.990 0.010 93.909 0.000 0.000 1.000 2.000
