Variable_Level Variable_Size Variable_Capacity Contribution_0 Contribution_1 Mutability_0 Mutability_1 Mutability_2 Capacity_1 Capacity_2
2 10 5 0.852 0.131 34.530 0.000 0.000 10.000 5.000
2 10 5 0.914 0.057 16.070 0.000 0.000 10.000 5.000
2 10 5 0.839 0.124 29.720 0.000 0.000 10.000 5.000
2 10 5 0.818 0.148 44.460 0.000 0.000 10.000 5.000
2 10 5 0.835 0.130 30.680 0.000 0.000 10.000 5.000
2 10 5 0.901 0.078 20.280 0.000 0.000 10.000 5.000
2 10 5 0.813 0.152 43.220 0.000 0.000 10.000 5.000
2 10 5 0.919 0.061 16.400 0.000 0.000 10.000 5.000
2 10 5 0.894 0.083 16.980 0.000 0.000 10.000 5.000
2 10 5 0.885 0.094 23.160 0.000 0.000 10.000 5.000
2 10 5 0.876 0.099 25.140 0.000 0.000 10.000 5.000
2 10 5 0.880 0.089 28.630 0.000 0.000 10.000 5.000
2 10 5 0.874 0.089 25.170 0.000 0.000 10.000 5.000
2 10 5 0.893 0.075 21.180 0.000 0.000 10.000 5.000
2 10 5 0.857 0.111 30.300 0.000 0.000 10.000 5.000
2 10 5 0.874 0.106 29.110 0.000 0.000 10.000 5.000
2 10 5 0.823 0.111 21.110 0.000 0.000 10.000 5.000
2 10 5 0.859 0.120 38.360 0.000 0.000 10.000 5.000
2 10 5 0.835 0.134 33.780 0.000 0.000 10.000 5.000
2 10 5 0.820 0.138 38.970 0.000 0.000 10.000 5.000
2 10 5 0.802 0.162 39.480 0.000 0.000 10.000 5.000
2 10 5 0.851 0.126 40.330 0.000 0.000 10.000 5.000
2 10 5 0.851 0.107 26.480 0.000 0.000 10.000 5.000
2 10 5 0.856 0.119 31.740 0.000 0.000 10.000 5.000
2 10 5 0.914 0.055 16.540 0.000 0.000 10.000 5.000
2 10 5 0.901 0.063 16.600 0.000 0.000 10.000 5.000
2 10 5 0.897 0.072 21.060 0.000 0.000 10.000 5.000
2 10 5 0.884 0.082 23.180 0.000 0.000 10.000 5.000
2 10 5 0.887 0.085 27.120 0.000 0.000 10.000 5.000
2 10 5 0.852 0.116 34.920 0.000 0.000 10.000 5.000
2 10 5 0.803 0.169 51.310 0.000 0.000 10.000 5.000
2 10 5 0.866 0.109 32.320 0.000 0.000 10.000 5.000
2 10 5 0.887 0.095 25.570 0.000 0.000 10.000 5.000
2 10 5 0.836 0.118 35.660 0.000 0.000 10.000 5.000
2 10 5 0.878 0.087 24.810 0.000 0.000 10.000 5.000
2 10 5 0.791 0.174 53.120 0.000 0.000 10.000 5.000
2 10 5 0.894 0.064 14.530 0.000 0.000 10.000 5.000
2 10 5 0.828 0.113 27.470 0.000 0.000 10.000 5.000
2 10 5 0.808 0.142 36.890 0.000 0.000 10.000 5.000
2 10 5 0.875 0.095 25.240 0.000 0.000 10.000 5.000
2 10 5 0.799 0.134 29.290 0.000 0.000 10.000 5.000
2 10 5 0.801 0.177 47.840 0.000 0.000 10.000 5.000
2 10 5 0.860 0.108 29.430 0.000 0.000 10.000 5.000
2 10 5 0.886 0.075 22.090 0.000 0.000 10.000 5.000
2 10 5 0.792 0.152 38.860 0.000 0.000 10.000 5.000
2 10 5 0.876 0.090 25.030 0.000 0.000 10.000 5.000
2 10 5 0.920 0.070 24.230 0.000 0.000 10.000 5.000
2 10 5 0.861 0.119 42.240 0.000 0.000 10.000 5.000
2 10 5 0.847 0.107 26.140 0.000 0.000 10.000 5.000
2 10 5 0.894 0.086 25.200 0.000 0.000 10.000 5.000
